Rank,Symbol,Security,Market Cap,1d %,7d %,Exchange,Volume
230,BKR,Baker Hughes,42564460544,-0.19,14.29,NMS,6727127
231,STZ,Constellation Brands,42560364544,0.47,1.12,NYQ,1731039
232,IT,Gartner,42223321088,1.23,8.68,NYQ,461160
233,TRGP,Targa Resources,41929154560,2.39,16.34,NYQ,2321630
234,GLW,Corning Inc.,41714503680,1.04,0.74,NYQ,4827437
235,CBRE,CBRE Group,41642926080,3.05,4.53,NYQ,1691071
236,EA,Electronic Arts,41415528448,-1.31,4.4,NMS,1296905
237,IR,Ingersoll Rand,41353060352,-0.89,9.19,NYQ,3035249
238,GRMN,Garmin,40847556608,1.13,7.34,NYQ,1143293
239,VRSK,Verisk Analytics,40242315264,1.66,3.45,NMS,506037
240,CTVA,Corteva,40089800704,-0.53,-4.16,NYQ,4673771
241,OTIS,Otis Worldwide,39958081536,,,NYQ,2688975
242,KHC,Kraft Heinz,39902613504,0.55,-1.46,NMS,7554482
243,CTSH,Cognizant,39819624448,-1.29,7.64,NMS,3692209
244,IQV,IQVIA,39790243840,0.71,4.81,NYQ,1418430
245,DAL,Delta Air Lines,39394406400,1.03,4.56,NYQ,3976623
246,A,Agilent Technologies,39271989248,-2.11,-0.14,NYQ,1918623
247,GEHC,GE HealthCare,39263666176,,,NMS,10044010
248,MCHP,Microchip Technology,39131918336,-1.98,-2.59,NMS,6279693
249,EW,Edwards Lifesciences,39062454272,0.59,-1.94,NYQ,3083363
250,XEL,Xcel Energy,38686683136,1.77,1.02,NMS,2840607
251,VMC,Vulcan Materials Company,38602752000,0.59,8.29,NYQ,494278
252,ACGL,Arch Capital Group,38320246784,2.05,6.07,NMS,1803780
253,EXC,Exelon,38294073344,1.06,0.9,NMS,4985385
254,YUM,Yum! Brands,38291472384,0.11,3.68,NYQ,1726745
255,SYY,Sysco,38015979520,0.68,3.15,NYQ,2237091
256,LULU,Lululemon Athletica,37880389632,-2.15,-3.94,NMS,1944672
257,MLM,Martin Marietta Materials,37867552768,0.39,6.8,NYQ,402364
258,NUE,Nucor,37297696768,-1.45,10.64,NYQ,1704233
259,MPWR,Monolithic Power Systems,37136211968,-1.79,0.25,NMS,822284
260,RMD,ResMed,37048373248,1.55,3.54,NYQ,930159
261,EXR,Extra Space Storage,36988076032,2.17,4.08,NYQ,708847
262,LVS,Las Vegas Sands,36526809088,-2.1,-2.23,NYQ,8698326
263,GIS,General Mills,36374016000,0.89,-3.99,NYQ,3005987
264,HSY,Hershey Company (The),35547705344,1.63,-2,NYQ,2486759
265,IDXX,Idexx Laboratories,35479003136,0.06,3.83,NMS,600284
266,HPQ,HP Inc.,35472683008,-1.39,1.49,NYQ,5489033
267,DD,DuPont,35179274240,-2.79,2.02,NYQ,2567211
268,IRM,Iron Mountain,35130097664,2.39,-1.2,NYQ,945730
269,MTB,M&T Bank,34745516032,0.62,8.93,NYQ,937946
270,HUM,Humana,34692816896,0.13,10.51,NYQ,1480262
271,WAB,Wabtec,34496606208,0.99,7.41,NYQ,746240
272,HIG,Hartford (The),34041901056,1.94,6.67,NYQ,1615146
273,ED,Consolidated Edison,33993408512,0.56,-1.87,NYQ,2915285
274,EFX,Equifax,33582313472,0.53,2.47,NYQ,656165
275,AVB,AvalonBay Communities,33247897600,2.5,8.08,NYQ,782637
276,VICI,Vici Properties,33090396160,1.49,-0.16,NYQ,3274460
277,DOW,Dow Inc.,32547278848,-4.93,-5.06,NYQ,9999058
278,CCL,Carnival,32298328064,1.65,9.91,NYQ,16516412
279,RJF,Raymond James Financial,32269807616,1.47,10.01,NYQ,1217577
280,EIX,Edison International,32172165120,2.03,2.43,NYQ,2044247
281,BRO,Brown & Brown,32150259712,1.88,8.08,NYQ,1210880
282,ETR,Entergy,31942502400,2.07,2.89,NYQ,2464617
283,WTW,Willis Towers Watson,31859316736,0.13,5.68,NMS,554702
284,CSGP,CoStar Group,31726804992,1.43,6.74,NMS,2188040
285,TTWO,Take-Two Interactive,31244044288,-0.71,8.62,NMS,2222999
286,FITB,Fifth Third Bancorp,31019317248,0.72,7.23,NMS,3522960
287,ROK,Rockwell Automation,30878910464,-1.79,1.27,NYQ,1067370
288,WEC,WEC Energy Group,30872983552,2.37,2.11,NYQ,2484882
289,TSCO,Tractor Supply,30829461504,-0.25,8.25,NMS,975821
290,CNC,Centene Corporation,30367629312,-3.79,-5.31,NYQ,6300228
291,XYL,Xylem Inc.,30215069696,0.57,4.11,NYQ,884521
292,ON,ON Semiconductor,29980366848,-2.28,-0.82,NMS,4703801
293,ANSS,Ansys,29923641344,-3.77,5.69,NMS,749849
294,EBAY,eBay,29645309952,-0.21,6.5,NMS,3147301
295,CAH,Cardinal Health,29176725504,1.98,3.81,NYQ,2790699
296,PPG,PPG Industries,29120638976,-0.37,0.89,NYQ,1222922
297,UAL,United Airlines Holdings,28779939840,2.43,8.76,NMS,4382212
298,EQR,Equity Residential,28757067776,2.42,6.38,NYQ,1366037
299,KEYS,Keysight Technologies,28707483648,0.15,9.15,NYQ,844265
300,HPE,Hewlett Packard Enterprise,28622686208,2.8,9.87,NYQ,14158842
301,LYV,Live Nation Entertainment,28550021120,-1.28,4.99,NYQ,2187304
302,NVR,"NVR, Inc.",28515348480,0.93,1.83,NYQ,16275
303,GPN,Global Payments,28218404864,-0.93,6.17,NYQ,3786606
304,K,Kellanova,27920537600,0.42,0.48,NYQ,1241578
305,MTD,Mettler Toledo,27797788672,-7.19,-2.39,NYQ,254152
306,STT,State Street Corporation,27784851456,-0.36,2.13,NYQ,2721125
307,LYB,LyondellBasell,27701772288,-2.32,-1.46,NYQ,3004499
308,DOV,Dover Corporation,27644188672,-0.13,6.55,NYQ,823884
309,DXCM,Dexcom,27326025728,1.52,-0.55,NMS,3019905
310,VTR,Ventas,27320979456,1.09,1.5,NYQ,3040607
311,PHM,PulteGroup,27214381056,1.17,3.37,NYQ,1599144
312,SW,Smurfit WestRock,27207383040,,,NYQ,3590553
313,DECK,Deckers Brands,26679021568,2.49,11.06,NYQ,2035747
314,TYL,Tyler Technologies,26672943104,1.28,3.4,NYQ,307191
315,CDW,CDW,26635474944,-1.49,6.1,NMS,926951
316,AWK,American Water Works,26523123712,2.45,0.07,NYQ,1075997
317,LDOS,Leidos,26475776000,3.01,8.44,NYQ,921890
318,BR,Broadridge Financial Solutions,26324572160,1.82,7.14,NYQ,466059
319,TROW,T. Rowe Price,26130343936,-2.03,4.96,NMS,1337154
320,VLTO,Veralto,26103359488,,,NYQ,1208414
321,FTV,Fortive,26090563584,1.61,5.41,NYQ,3757167
322,CHD,Church & Dwight,26080036864,2.44,1.62,NYQ,1420819
323,HST,Host Hotels & Resorts,25686403072,0.06,3.92,NMS,8211935
324,HAL,Halliburton,25678614528,-1.08,5.6,NYQ,8184052
325,DVN,Devon Energy,25533700096,-0.05,1.44,NYQ,8611882
326,CPAY,Corpay,25514924032,5.63,10.98,NYQ,1210695
327,NTAP,NetApp,25395140608,0.96,6.81,NMS,1361805
328,BIIB,Biogen,25215215616,-0.51,-0.43,NMS,1581624
329,HBAN,Huntington Bancshares,25119086592,-0.52,11.69,NMS,14590843
330,HUBB,Hubbell Incorporated,25114036224,0.2,9.92,NYQ,316317
331,GDDY,GoDaddy,24967137280,0.3,8.86,NYQ,852913
332,ADM,Archer Daniels Midland,24925544448,-0.69,-4.59,NYQ,3482189
333,SYF,Synchrony Financial,24836253696,-1.31,15.98,NYQ,4749878
334,EQT,EQT Corporation,24595316736,1.3,16.21,NYQ,5900972
335,PPL,PPL Corporation,24397289472,2.23,4.75,NYQ,6209892
336,DTE,DTE Energy,24396496896,0.65,-2.88,NYQ,3004419
337,ROL,"Rollins, Inc.",24302424064,2.32,6.02,NYQ,1466711
338,SBAC,SBA Communications,24076550144,1.06,-0.74,NMS,1304169
339,AEE,Ameren,24074237952,4.21,5.02,NYQ,2268864
340,WDC,Western Digital,24064733184,-1.18,5.66,NMS,3004042
341,FE,FirstEnergy,23940208640,0.75,0.57,NYQ,2812945
342,IFF,International Flavors & Fragrances,23594334208,1.45,-6.72,NYQ,3098708
343,WST,West Pharmaceutical Services,23472099328,0.21,2.4,NYQ,600808
344,RF,Regions Financial Corporation,23285096448,0.83,8.74,NYQ,6479241
345,CINF,Cincinnati Financial,23242479616,1.07,5.72,NMS,379139
346,EXPE,Expedia Group,23199821824,3.81,13.4,NMS,4768499
347,WY,Weyerhaeuser,23170699264,0.47,2.28,NYQ,2669584
348,PTC,PTC Inc.,23165632512,1.46,4.22,NMS,1542825
349,WRB,W. R. Berkley Corporation,23073726464,1.56,5.3,NYQ,940230
350,EL,Estée Lauder Companies (The),22938693632,-3.63,-4.03,NYQ,5667025
351,STLD,Steel Dynamics,22921711616,0.41,11.15,NMS,1036453
352,WAT,Waters Corporation,22830743552,-0.42,-0.7,NYQ,360756
353,TDY,Teledyne Technologies,22799708160,2.42,7.48,NYQ,343547
354,WBD,Warner Bros. Discovery,22520100864,-2.03,11.54,NMS,44221357
